dia,titulo,opciones,mes
6,Reyes Magos,santo,enero
12,Luisa Fernández,1972,enero
20,Carlos Romero,1985,enero
28,\Cross Abuelo Roque,cumple,enero
5,Antonio Gómez,1990,febrero
14,San Valentín,santo,febrero
21,Elena y Carlos (boda),2015,febrero
8,Día de la Mujer,santo,marzo
19,San José,santo,marzo
25,Marta Fernández,2016,marzo
31,Javier Romero,1979,marzo
23,Sant Jordi,santo,abril
26,Isabel Gómez,1998,abril
29,Santa Catalina,santo,abril
1,Día del Trabajo,santo,mayo
10,Sofía Romero,2020,mayo
17,\Cross Tía Rosario,cumple,mayo
23,Luis y Ana (boda),2019,mayo
29,Pablo Fernández,1994,mayo
1,Ignasi i Ester (boda),2018,junio
15,Antonio Romero,1957,junio
24,San Juan,santo,junio
29,Santos Pedro y Pablo,santo,junio
8,Carmen Gómez,1963,julio
16,Nuestra Señora del Carmen,santo,julio
25,Santiago Apóstol,santo,julio
28,Nicolás Fernández,2017,julio
5,Teresa Romero,2022,agosto
15,La Asunción,santo,agosto
22,Roberto Gómez,1988,agosto
28,Marina Fernández,1975,agosto
4,Joan y Marta (boda),2020,septiembre
12,Dulce Nombre de María,santo,septiembre
21,San Mateo,santo,septiembre
25,\Cross Abuela Concha,1938,septiembre
3,Ana Romero,cumple,octubre
12,Nuestra Señora del Pilar,santo,octubre
18,San Lucas,santo,octubre
26,Diego Gómez,2009,octubre
1,Todos los Santos,santo,noviembre
8,Sara Fernández,1991,noviembre
22,\Cross Abuelo Manuel,cumple,noviembre
27,San Andrés,santo,noviembre
3,San Francisco Javier,santo,diciembre
8,La Inmaculada,santo,diciembre
18,Lucía Romero,2018,diciembre
25,Navidad,santo,diciembre
